VNG;Công ty Cổ phần Du lịch Thành Thành Công;Hàng tiêu dùng;0
VTB;Công ty Cổ phần Viettronics Tân Bình;Hàng tiêu dùng;0
AAM;Công ty Cổ phần Thủy sản Mekong;Hàng tiêu dùng thiết yếu;0
ABT;Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre;Hàng tiêu dùng thiết yếu;0
ACL;Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang;Hàng tiêu dùng thiết yếu;0
AGM;Công ty Cổ phần Xuất Nhập Khẩu An Giang;Hàng tiêu dùng thiết yếu;0
ANV;Công ty Cổ phần Nam Việt;Hàng tiêu dùng thiết yếu;0
BBC;Công ty Cổ phần BIBICA;Hàng tiêu dùng thiết yếu;0
BHN;Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Hà Nội;Hàng tiêu dùng thiết yếu;0
CKG;Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang;Hàng tiêu dùng thiết yếu;0
CMX;Công ty Cổ phần Camimex Group;Hàng tiêu dùng thiết yếu;0
DAT;Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản;Hàng tiêu dùng thiết yếu;0
DBC;Công ty Cổ phần Tập đoàn DABACO Việt Nam;Hàng tiêu dùng thiết yếu;0
DGC;Công ty Cổ phần Tập đoàn Hóa chất Đức Giang;Hàng tiêu dùng thiết yếu;0
FMC;Công ty Cổ phần Thực phẩm Sao Ta;Hàng tiêu dùng thiết yếu;0
GTN;Công ty Cổ phần GTNFOODS;Hàng tiêu dùng thiết yếu;0
HAG;Công ty Cổ phần Hoàng Anh Gia Lai;Hàng tiêu dùng thiết yếu;0
HNG;Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai;Hàng tiêu dùng thiết yếu;0
IDI;Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I;Hàng tiêu dùng thiết yếu;0
KDC;Công ty Cổ phần Tập đoàn Kido;Hàng tiêu dùng thiết yếu;0
LAF;Công ty Cổ phần Chế biến Hàng xuất khẩu Long An;Hàng tiêu dùng thiết yếu;0
LIX;Công ty Cổ phần Bột giặt LIX;Hàng tiêu dùng thiết yếu;0
LSS;Công ty Cổ phần Mía đường Lam Sơn;Hàng tiêu dùng thiết yếu;0
MSN;Công ty Cổ phần Tập đoàn MaSan;Hàng tiêu dùng thiết yếu;1
